datetime	open	high	low	close	volume
10.02.2020 00:00	254.55	255.73	252.07	252.26	3522069
11.02.2020 00:00	253.75	259.77	253.0	254.5	7945473
12.02.2020 00:00	255.4	255.49	252.31	254.5	5252330
13.02.2020 00:00	253.62	255.18	252.5	253.89	3673084
14.02.2020 00:00	254.4	254.4	251.4	251.75	3001738
17.02.2020 00:00	252.5	253.1	250.13	251.36	2642938
18.02.2020 00:00	250.07	250.44	247.57	249.2	3636595
19.02.2020 00:00	250.37	250.68	247.95	249.7	2579889
20.02.2020 00:00	250.03	252.17	249.13	250.15	3071736
21.02.2020 00:00	248.35	251.49	247.24	250.8	2776293
25.02.2020 00:00	247.98	249.0	245.17	245.19	4105578
26.02.2020 00:00	244.75	251.21	243.22	250.8	6775785
27.02.2020 00:00	247.5	248.98	242.0	242.88	5824040
28.02.2020 00:00	235.0	239.0	231.0	233.36	12463331
02.03.2020 00:00	238.93	241.0	218.86	228.17	10198604
03.03.2020 00:00	233.0	239.0	232.28	236.63	8365395
04.03.2020 00:00	234.13	236.7	232.62	235.27	5427467
05.03.2020 00:00	237.0	238.72	230.64	232.33	5708376
06.03.2020 00:00	228.0	229.2	216.67	219.99	10444690
10.03.2020 00:00	197.99	212.74	184.86	201.2	24454180
11.03.2020 00:00	202.0	204.33	192.05	194.53	13830403
12.03.2020 00:00	185.15	187.87	173.14	175.91	19797288
13.03.2020 00:00	175.0	199.52	174.3	198.6	26303828
16.03.2020 00:00	194.0	196.7	186.0	195.85	17427360
17.03.2020 00:00	195.0	204.78	183.8	184.01	18414839
18.03.2020 00:00	179.0	182.2	172.15	174.27	15500818
19.03.2020 00:00	178.5	190.15	173.06	189.51	18742770
20.03.2020 00:00	198.62	201.86	192.05	195.69	17058297
23.03.2020 00:00	188.0	190.99	182.1	183.37	15789145
24.03.2020 00:00	193.3	195.0	189.1	192.64	10488199
25.03.2020 00:00	196.38	201.0	182.32	188.08	18797835
26.03.2020 00:00	187.69	191.2	182.8	188.07	11160237
27.03.2020 00:00	188.05	188.97	180.17	180.38	11427775
30.03.2020 00:00	177.0	183.2	174.9	183.0	9433468
31.03.2020 00:00	186.0	188.77	184.25	187.21	11402692
01.04.2020 00:00	183.2	185.47	182.0	184.78	7682682
02.04.2020 00:00	188.3	189.9	182.0	186.95	12563636
03.04.2020 00:00	186.6	187.49	184.28	185.64	9286029
06.04.2020 00:00	187.52	192.02	186.42	190.7	7786492
07.04.2020 00:00	193.02	200.54	193.02	197.63	13642167
08.04.2020 00:00	196.02	200.29	195.12	200.29	8998098
09.04.2020 00:00	202.4	205.44	199.3	203.61	10998163
10.04.2020 00:00	201.85	202.75	200.7	201.99	2875825
13.04.2020 00:00	202.0	202.16	197.32	198.26	4128439
14.04.2020 00:00	199.99	202.85	196.1	197.37	8022007
15.04.2020 00:00	196.0	196.25	186.06	186.07	9816446
16.04.2020 00:00	187.22	191.67	183.53	188.5	10917487
17.04.2020 00:00	192.5	192.7	188.28	191.8	7172794
20.04.2020 00:00	190.6	192.23	187.31	189.32	6224008
21.04.2020 00:00	185.54	187.5	183.65	186.05	9430729
22.04.2020 00:00	185.01	191.94	184.5	190.2	7536189
23.04.2020 00:00	191.99	192.5	188.68	190.94	6275965
24.04.2020 00:00	189.73	191.65	187.7	188.91	5531385
27.04.2020 00:00	189.98	190.5	188.43	188.9	4371172
